### DETECTION RATE IS:       0.0
### NO. DET MALICIOUS USERS: 0
### NO. ALL MALICIOUS USERS: 276
### 
### FALSE POSITIVE RATE IS:           0.0
### FALSE POSITIVES (WORST CASE)      0.0
### NO. WRONGLY DET USERS             0
### NO. WRONGLY DET USERS (WORST CASE)0
### NO. BENIGN USERS:                 1866
###
DAY - AV ROOMS - OCCUPANCY %
1 - 200 - 0.0
2 - 190 - 0.05
3 - 129 - 0.355
4 - 84 - 0.58
5 - 46 - 0.77
6 - 5 - 0.975
7 - 0 - 1.0
8 - 0 - 1.0
9 - 5 - 0.975
10 - 18 - 0.91
11 - 0 - 1.0
12 - 3 - 0.985
13 - 3 - 0.985
14 - 18 - 0.91
15 - 20 - 0.9
16 - 24 - 0.88
17 - 16 - 0.92
18 - 10 - 0.95
19 - 10 - 0.95
20 - 37 - 0.815
21 - 28 - 0.86
22 - 8 - 0.96
23 - 17 - 0.915
24 - 13 - 0.935
25 - 33 - 0.835
26 - 14 - 0.93
27 - 8 - 0.96
28 - 8 - 0.96
29 - 4 - 0.98
30 - 12 - 0.94
31 - 9 - 0.955
32 - 6 - 0.97
33 - 22 - 0.89
34 - 3 - 0.985
35 - 26 - 0.87
36 - 28 - 0.86
37 - 12 - 0.94
38 - 15 - 0.925
39 - 21 - 0.895
40 - 10 - 0.95
41 - 13 - 0.935
42 - 8 - 0.96
43 - 1 - 0.995
44 - 13 - 0.935
45 - 3 - 0.985
46 - 19 - 0.905
47 - 27 - 0.865
48 - 17 - 0.915
49 - 10 - 0.95
50 - 24 - 0.88
51 - 29 - 0.855
52 - 9 - 0.955
53 - 12 - 0.94
54 - 0 - 1.0
55 - 13 - 0.935
56 - 8 - 0.96
57 - 18 - 0.91
58 - 1 - 0.995
59 - 29 - 0.855
60 - 16 - 0.92
61 - 21 - 0.895
62 - 21 - 0.895
63 - 30 - 0.85
64 - 36 - 0.82
65 - 42 - 0.79
66 - 40 - 0.8
67 - 26 - 0.87
68 - 14 - 0.93
69 - 25 - 0.875
70 - 6 - 0.97
71 - 1 - 0.995
72 - 3 - 0.985
73 - 11 - 0.945
74 - 16 - 0.92
75 - 22 - 0.89
76 - 25 - 0.875
77 - 15 - 0.925
78 - 9 - 0.955
79 - 21 - 0.895
80 - 16 - 0.92
81 - 13 - 0.935
82 - 6 - 0.97
83 - 0 - 1.0
84 - 18 - 0.91
85 - 15 - 0.925
86 - 5 - 0.975
87 - 27 - 0.865
88 - 28 - 0.86
89 - 24 - 0.88
90 - 38 - 0.81
91 - 18 - 0.91
92 - 1 - 0.995
93 - 7 - 0.965
94 - 2 - 0.99
95 - 20 - 0.9
96 - 41 - 0.795
97 - 56 - 0.72
98 - 66 - 0.67
99 - 49 - 0.755
100 - 25 - 0.875
101 - 34 - 0.83
102 - 14 - 0.93
103 - 1 - 0.995
104 - 2 - 0.99
105 - 11 - 0.945
106 - 13 - 0.935
107 - 10 - 0.95
108 - 2 - 0.99
109 - 15 - 0.925
110 - 24 - 0.88
111 - 33 - 0.835
112 - 20 - 0.9
113 - 29 - 0.855
114 - 11 - 0.945
115 - 10 - 0.95
116 - 20 - 0.9
117 - 0 - 1.0
118 - 8 - 0.96
119 - 5 - 0.975
120 - 12 - 0.94
121 - 4 - 0.98
122 - 24 - 0.88
123 - 36 - 0.82
124 - 29 - 0.855
125 - 27 - 0.865
126 - 29 - 0.855
127 - 43 - 0.785
128 - 39 - 0.805
129 - 39 - 0.805
130 - 27 - 0.865
131 - 21 - 0.895
132 - 19 - 0.905
133 - 3 - 0.985
134 - 4 - 0.98
135 - 6 - 0.97
136 - 1 - 0.995
137 - 17 - 0.915
138 - 47 - 0.765
139 - 30 - 0.85
140 - 38 - 0.81
141 - 33 - 0.835
142 - 34 - 0.83
143 - 46 - 0.77
144 - 38 - 0.81
145 - 20 - 0.9
146 - 9 - 0.955
147 - 38 - 0.81
148 - 23 - 0.885
149 - 26 - 0.87
150 - 42 - 0.79
151 - 19 - 0.905
152 - 17 - 0.915
153 - 16 - 0.92
154 - 18 - 0.91
155 - 0 - 1.0
156 - 2 - 0.99
157 - 20 - 0.9
158 - 42 - 0.79
159 - 46 - 0.77
160 - 48 - 0.76
161 - 26 - 0.87
162 - 37 - 0.815
163 - 27 - 0.865
164 - 32 - 0.84
165 - 20 - 0.9
166 - 19 - 0.905
167 - 1 - 0.995
168 - 18 - 0.91
169 - 17 - 0.915
170 - 33 - 0.835
171 - 26 - 0.87
172 - 44 - 0.78
173 - 30 - 0.85
174 - 16 - 0.92
175 - 20 - 0.9
176 - 22 - 0.89
177 - 5 - 0.975
178 - 9 - 0.955
179 - 6 - 0.97
180 - 29 - 0.855

### BENCHMARK FOR Booking.setCancel GLOBAL
### AVG GLOBAL:      1528276.8322910746
### MIN GLOBAL:      938160
### MAX GLOBAL:      17644801
### LEN GLOBAL:      1759
### AVG METHOD CALL: 220613.376350199
### MIN METHOD CALL: 33656
### MAX METHOD CALL: 570164
### LEN METHOD CALL: 1759
### AVG ASPECT:      4493.8851620238775
### MIN ASPECT:      1832
### MAX ASPECT:      151024
### LEN ASPECT:      1759
