### DETECTION RATE IS:       0.0
### NO. DET MALICIOUS USERS: 0
### NO. ALL MALICIOUS USERS: 231
### 
### FALSE POSITIVE RATE IS:           0.0
### FALSE POSITIVES (WORST CASE)      0.0
### NO. WRONGLY DET USERS             0
### NO. WRONGLY DET USERS (WORST CASE)0
### NO. BENIGN USERS:                 1696
###
DAY - AV ROOMS - OCCUPANCY %
1 - 200 - 0.0
2 - 190 - 0.05
3 - 128 - 0.36
4 - 81 - 0.595
5 - 44 - 0.78
6 - 6 - 0.97
7 - 1 - 0.995
8 - 2 - 0.99
9 - 0 - 1.0
10 - 10 - 0.95
11 - 3 - 0.985
12 - 0 - 1.0
13 - 1 - 0.995
14 - 0 - 1.0
15 - 1 - 0.995
16 - 0 - 1.0
17 - 1 - 0.995
18 - 3 - 0.985
19 - 0 - 1.0
20 - 10 - 0.95
21 - 0 - 1.0
22 - 8 - 0.96
23 - 0 - 1.0
24 - 1 - 0.995
25 - 0 - 1.0
26 - 0 - 1.0
27 - 0 - 1.0
28 - 0 - 1.0
29 - 0 - 1.0
30 - 7 - 0.965
31 - 2 - 0.99
32 - 0 - 1.0
33 - 4 - 0.98
34 - 2 - 0.99
35 - 14 - 0.93
36 - 0 - 1.0
37 - 2 - 0.99
38 - 2 - 0.99
39 - 0 - 1.0
40 - 20 - 0.9
41 - 1 - 0.995
42 - 5 - 0.975
43 - 0 - 1.0
44 - 3 - 0.985
45 - 0 - 1.0
46 - 8 - 0.96
47 - 3 - 0.985
48 - 0 - 1.0
49 - 0 - 1.0
50 - 1 - 0.995
51 - 0 - 1.0
52 - 13 - 0.935
53 - 10 - 0.95
54 - 0 - 1.0
55 - 7 - 0.965
56 - 5 - 0.975
57 - 31 - 0.845
58 - 23 - 0.885
59 - 19 - 0.905
60 - 12 - 0.94
61 - 47 - 0.765
62 - 22 - 0.89
63 - 3 - 0.985
64 - 34 - 0.83
65 - 27 - 0.865
66 - 55 - 0.725
67 - 44 - 0.78
68 - 8 - 0.96
69 - 21 - 0.895
70 - 28 - 0.86
71 - 30 - 0.85
72 - 37 - 0.815
73 - 26 - 0.87
74 - 14 - 0.93
75 - 31 - 0.845
76 - 34 - 0.83
77 - 38 - 0.81
78 - 28 - 0.86
79 - 32 - 0.84
80 - 51 - 0.745
81 - 37 - 0.815
82 - 42 - 0.79
83 - 45 - 0.775
84 - 34 - 0.83
85 - 14 - 0.93
86 - 1 - 0.995
87 - 10 - 0.95
88 - 38 - 0.81
89 - 24 - 0.88
90 - 35 - 0.825
91 - 24 - 0.88
92 - 52 - 0.74
93 - 52 - 0.74
94 - 49 - 0.755
95 - 54 - 0.73
96 - 58 - 0.71
97 - 56 - 0.72
98 - 68 - 0.66
99 - 49 - 0.755
100 - 52 - 0.74
101 - 31 - 0.845
102 - 18 - 0.91
103 - 46 - 0.77
104 - 61 - 0.695
105 - 45 - 0.775
106 - 50 - 0.75
107 - 47 - 0.765
108 - 40 - 0.8
109 - 38 - 0.81
110 - 33 - 0.835
111 - 43 - 0.785
112 - 34 - 0.83
113 - 28 - 0.86
114 - 13 - 0.935
115 - 32 - 0.84
116 - 33 - 0.835
117 - 53 - 0.735
118 - 58 - 0.71
119 - 52 - 0.74
120 - 37 - 0.815
121 - 1 - 0.995
122 - 20 - 0.9
123 - 28 - 0.86
124 - 41 - 0.795
125 - 29 - 0.855
126 - 21 - 0.895
127 - 39 - 0.805
128 - 55 - 0.725
129 - 43 - 0.785
130 - 49 - 0.755
131 - 29 - 0.855
132 - 41 - 0.795
133 - 35 - 0.825
134 - 47 - 0.765
135 - 35 - 0.825
136 - 22 - 0.89
137 - 12 - 0.94
138 - 22 - 0.89
139 - 30 - 0.85
140 - 50 - 0.75
141 - 34 - 0.83
142 - 54 - 0.73
143 - 50 - 0.75
144 - 42 - 0.79
145 - 49 - 0.755
146 - 54 - 0.73
147 - 61 - 0.695
148 - 22 - 0.89
149 - 4 - 0.98
150 - 11 - 0.945
151 - 2 - 0.99
152 - 39 - 0.805
153 - 43 - 0.785
154 - 22 - 0.89
155 - 39 - 0.805
156 - 25 - 0.875
157 - 33 - 0.835
158 - 26 - 0.87
159 - 23 - 0.885
160 - 14 - 0.93
161 - 20 - 0.9
162 - 26 - 0.87
163 - 18 - 0.91
164 - 13 - 0.935
165 - 26 - 0.87
166 - 8 - 0.96
167 - 0 - 1.0
168 - 30 - 0.85
169 - 35 - 0.825
170 - 52 - 0.74
171 - 48 - 0.76
172 - 29 - 0.855
173 - 26 - 0.87
174 - 29 - 0.855
175 - 30 - 0.85
176 - 31 - 0.845
177 - 28 - 0.86
178 - 16 - 0.92
179 - 6 - 0.97
180 - 36 - 0.82

### BENCHMARK FOR Booking.setCancel GLOBAL
### AVG GLOBAL:      1977527.7650231125
### MIN GLOBAL:      1024714
### MAX GLOBAL:      26576589
### LEN GLOBAL:      1298
### AVG METHOD CALL: 279672.72573189525
### MIN METHOD CALL: 29913
### MAX METHOD CALL: 2648524
### LEN METHOD CALL: 1298
### AVG ASPECT:      7503.18875192604
### MIN ASPECT:      1855
### MAX ASPECT:      136597
### LEN ASPECT:      1298
